com_x,com_y,ideal_zmp_x,ideal_zmp_y,l_foot_t,l_foot_x,l_foot_y,l_foot_z,now_step_,pitch,points,r_foot_t,r_foot_x,r_foot_y,r_foot_z,roll,time,yaw
0.000000,-0.718778,0.000000,-5.000000,0.000000,0.000000,0.718778,24.299999,0.000000,none,1.000000,0.000000,0.000000,0.718778,24.299999,none,0.030000,13.000000
0.000000,-1.281693,0.000000,-5.000000,0.000000,0.000000,1.281693,24.299999,0.000000,none,2.000000,0.000000,0.000000,1.281693,24.299999,none,0.060000,13.000000
0.000000,-1.709239,0.000000,-5.000000,0.000000,0.000000,1.709239,24.299999,0.000000,none,3.000000,0.000000,0.000000,1.709239,24.299999,none,0.090000,13.000000
0.000000,-2.016980,0.000000,-5.000000,0.000000,0.000000,2.016980,24.299999,0.000000,none,4.000000,0.000000,0.000000,2.016980,24.299999,none,0.120000,13.000000
0.000000,-2.216121,0.000000,-5.000000,0.000000,0.000000,2.216121,24.299999,0.000000,none,5.000000,0.000000,0.000000,2.216121,24.299999,none,0.150000,13.000000
0.000000,-2.313911,0.000000,-5.000000,0.000000,0.000000,2.313911,24.299999,0.000000,none,6.000000,0.000000,0.000000,2.313911,24.299999,none,0.180000,13.000000
0.000000,-2.313911,0.000000,-5.000000,0.000000,0.000000,2.313911,24.299999,0.000000,none,7.000000,0.000000,0.000000,2.313911,24.299999,none,0.210000,13.000000
0.000000,-2.216121,0.000000,-5.000000,0.000000,0.000000,2.216121,24.299999,0.000000,none,8.000000,0.000000,0.000000,2.216121,24.299999,none,0.240000,13.000000
0.000000,-2.016980,0.000000,-5.000000,0.000000,0.000000,2.016980,24.299999,0.000000,none,9.000000,0.000000,0.000000,2.016980,24.299999,none,0.270000,13.000000
0.000000,-1.709239,0.000000,-5.000000,0.000000,0.000000,1.709239,24.299999,0.000000,none,10.000000,0.000000,0.000000,1.709239,24.299999,none,0.300000,13.000000
0.000000,-1.281693,0.000000,-5.000000,0.000000,0.000000,1.281693,24.299999,0.000000,none,11.000000,0.000000,0.000000,1.281693,24.299999,none,0.330000,13.000000
0.000000,-0.718778,0.000000,-5.000000,0.000000,0.000000,0.718778,24.299999,0.000000,none,12.000000,0.000000,0.000000,0.718778,24.299999,none,0.360000,13.000000
0.000000,0.000000,0.000000,-5.000000,0.000000,0.000000,-0.000000,24.299999,0.000000,none,13.000000,0.000000,0.000000,-0.000000,24.299999,none,0.390000,13.000000
0.000000,0.718778,0.000000,5.000000,0.000000,0.000000,-0.718778,24.299999,1.000000,none,14.000000,0.000000,0.000000,-0.718778,24.299999,none,0.030000,13.000000
0.000000,1.281693,0.000000,5.000000,0.000000,0.000000,-1.281693,24.299999,1.000000,none,15.000000,0.000000,0.000000,-1.281693,24.299999,none,0.060000,13.000000
0.000000,1.709239,0.000000,5.000000,0.000000,0.000000,-1.709239,24.299999,1.000000,none,16.000000,0.000000,0.000000,-1.709239,23.974545,none,0.090000,13.000000
0.000000,2.016980,0.000000,5.000000,0.000000,0.000000,-2.016980,24.299999,1.000000,none,17.000000,0.000000,0.000000,-2.016980,22.814100,none,0.120000,13.000000
0.000000,2.216121,0.000000,5.000000,0.000000,0.000000,-2.216121,24.299999,1.000000,none,18.000000,0.000000,0.000000,-2.216121,21.390062,none,0.150000,13.000000
0.000000,2.313911,0.000000,5.000000,0.000000,0.000000,-2.313911,24.299999,1.000000,none,19.000000,0.000000,0.000000,-2.313911,20.432577,none,0.180000,13.000000
0.000000,2.313911,0.000000,5.000000,0.000000,0.000000,-2.313911,24.299999,1.000000,none,20.000000,0.000000,0.000000,-2.313911,20.432577,none,0.210000,13.000000
0.000000,2.216121,0.000000,5.000000,0.000000,0.000000,-2.216121,24.299999,1.000000,none,21.000000,0.000000,0.000000,-2.216121,21.390062,none,0.240000,13.000000
0.000000,2.016980,0.000000,5.000000,0.000000,0.000000,-2.016980,24.299999,1.000000,none,22.000000,0.000000,0.000000,-2.016980,22.814100,none,0.270000,13.000000
0.000000,1.709239,0.000000,5.000000,0.000000,0.000000,-1.709239,24.299999,1.000000,none,23.000000,0.000000,0.000000,-1.709239,23.974545,none,0.300000,13.000000
0.000000,1.281693,0.000000,5.000000,0.000000,0.000000,-1.281693,24.299999,1.000000,none,24.000000,0.000000,0.000000,-1.281693,24.299999,none,0.330000,13.000000
0.000000,0.718778,0.000000,5.000000,0.000000,0.000000,-0.718778,24.299999,1.000000,none,25.000000,0.000000,0.000000,-0.718778,24.299999,none,0.360000,13.000000
0.000000,-0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,24.299999,1.000000,none,26.000000,0.000000,0.000000,0.000000,24.299999,none,0.390000,13.000000
0.000000,-0.895207,0.000000,-5.300000,0.000000,0.000000,0.895207,24.299999,2.000000,none,27.000000,0.000000,0.000000,0.595207,24.299999,none,0.030000,13.000000
0.000000,-1.480052,0.000000,-5.300000,0.000000,0.000000,1.480052,24.299999,2.000000,none,28.000000,0.000000,0.000000,1.180052,24.299999,none,0.060000,13.000000
0.000000,-1.925827,0.000000,-5.300000,-0.051272,0.001263,1.924312,23.893179,2.000000,none,29.000000,0.051272,0.000000,1.625827,24.299999,none,0.090000,13.000000
0.000000,-2.248762,0.000000,-5.300000,-0.046935,0.013704,2.232316,22.442625,2.000000,none,30.000000,0.046935,0.000000,1.948762,24.299999,none,0.120000,13.000000
0.000000,-2.460612,0.000000,-5.300000,-0.039847,0.045862,2.405578,20.662577,2.000000,none,31.000000,0.039847,0.000000,2.160612,24.299999,none,0.150000,13.000000
0.000000,-2.569091,0.000000,-5.300000,-0.030946,0.096186,2.453668,19.465721,2.000000,none,32.000000,0.030946,0.000000,2.269091,24.299999,none,0.180000,13.000000
0.000000,-2.578148,0.000000,-5.300000,-0.021414,0.153814,2.393571,19.465721,2.000000,none,33.000000,0.021414,0.000000,2.278148,24.299999,none,0.210000,13.000000
0.000000,-2.488113,0.000000,-5.300000,-0.012513,0.204138,2.243147,20.662577,2.000000,none,34.000000,0.012513,0.000000,2.188113,24.299999,none,0.240000,13.000000
0.000000,-2.295707,0.000000,-5.300000,-0.005425,0.236296,2.012153,22.442625,2.000000,none,35.000000,0.005425,0.000000,1.995707,24.299999,none,0.270000,13.000000
0.000000,-1.993927,0.000000,-5.300000,-0.001088,0.248737,1.695442,23.893179,2.000000,none,36.000000,0.001088,0.000000,1.693927,24.299999,none,0.300000,13.000000
0.000000,-1.571785,0.000000,-5.300000,0.000000,0.250000,1.271785,24.299999,2.000000,none,37.000000,0.000000,0.000000,1.271785,24.299999,none,0.330000,13.000000
0.000000,-1.013912,0.000000,-5.300000,0.000000,0.250000,0.713912,24.299999,2.000000,none,38.000000,0.000000,0.000000,0.713912,24.299999,none,0.360000,13.000000
0.000000,-0.300000,0.000000,-5.300000,0.000000,0.250000,0.000000,24.299999,2.000000,none,39.000000,0.000000,0.000000,0.000000,24.299999,none,0.390000,13.000000
