com_x,com_y,ideal_zmp_x,ideal_zmp_y,l_foot_t,l_foot_x,l_foot_y,l_foot_z,now_step_,pitch,points,r_foot_t,r_foot_x,r_foot_y,r_foot_z,roll,time,yaw
0.000000,-0.718778,0.000000,-5.000000,0.000000,0.000000,0.718778,24.299999,0.000000,none,1.000000,0.000000,0.000000,0.718778,24.299999,none,0.030000,13.000000
0.000000,-1.281693,0.000000,-5.000000,0.000000,0.000000,1.281693,24.299999,0.000000,none,2.000000,0.000000,0.000000,1.281693,24.299999,none,0.060000,13.000000
0.000000,-1.709239,0.000000,-5.000000,0.000000,0.000000,1.709239,24.299999,0.000000,none,3.000000,0.000000,0.000000,1.709239,24.299999,none,0.090000,13.000000
0.000000,-2.016980,0.000000,-5.000000,0.000000,0.000000,2.016980,24.299999,0.000000,none,4.000000,0.000000,0.000000,2.016980,24.299999,none,0.120000,13.000000
0.000000,-2.216121,0.000000,-5.000000,0.000000,0.000000,2.216121,24.299999,0.000000,none,5.000000,0.000000,0.000000,2.216121,24.299999,none,0.150000,13.000000
0.000000,-2.313911,0.000000,-5.000000,0.000000,0.000000,2.313911,24.299999,0.000000,none,6.000000,0.000000,0.000000,2.313911,24.299999,none,0.180000,13.000000
0.000000,-2.313911,0.000000,-5.000000,0.000000,0.000000,2.313911,24.299999,0.000000,none,7.000000,0.000000,0.000000,2.313911,24.299999,none,0.210000,13.000000
0.000000,-2.216121,0.000000,-5.000000,0.000000,0.000000,2.216121,24.299999,0.000000,none,8.000000,0.000000,0.000000,2.216121,24.299999,none,0.240000,13.000000
0.000000,-2.016980,0.000000,-5.000000,0.000000,0.000000,2.016980,24.299999,0.000000,none,9.000000,0.000000,0.000000,2.016980,24.299999,none,0.270000,13.000000
0.000000,-1.709239,0.000000,-5.000000,0.000000,0.000000,1.709239,24.299999,0.000000,none,10.000000,0.000000,0.000000,1.709239,24.299999,none,0.300000,13.000000
0.000000,-1.281693,0.000000,-5.000000,0.000000,0.000000,1.281693,24.299999,0.000000,none,11.000000,0.000000,0.000000,1.281693,24.299999,none,0.330000,13.000000
0.000000,-0.718778,0.000000,-5.000000,0.000000,0.000000,0.718778,24.299999,0.000000,none,12.000000,0.000000,0.000000,0.718778,24.299999,none,0.360000,13.000000
0.000000,0.000000,0.000000,-5.000000,0.000000,0.000000,-0.000000,24.299999,0.000000,none,13.000000,0.000000,0.000000,-0.000000,24.299999,none,0.390000,13.000000
0.000000,0.718778,0.000000,5.000000,0.000000,0.000000,-0.718778,24.299999,1.000000,none,14.000000,0.000000,0.000000,-0.718778,24.299999,none,0.030000,13.000000
0.000000,1.281693,0.000000,5.000000,0.000000,0.000000,-1.281693,24.299999,1.000000,none,15.000000,0.000000,0.000000,-1.281693,24.299999,none,0.060000,13.000000
0.000000,1.709239,0.000000,5.000000,0.000000,0.000000,-1.709239,24.299999,1.000000,none,16.000000,0.000000,0.000000,-1.709239,23.974545,none,0.090000,13.000000
0.000000,2.016980,0.000000,5.000000,0.000000,0.000000,-2.016980,24.299999,1.000000,none,17.000000,0.000000,0.000000,-2.016980,22.814100,none,0.120000,13.000000
0.000000,2.216121,0.000000,5.000000,0.000000,0.000000,-2.216121,24.299999,1.000000,none,18.000000,0.000000,0.000000,-2.216121,21.390062,none,0.150000,13.000000
0.000000,2.313911,0.000000,5.000000,0.000000,0.000000,-2.313911,24.299999,1.000000,none,19.000000,0.000000,0.000000,-2.313911,20.432577,none,0.180000,13.000000
0.000000,2.313911,0.000000,5.000000,0.000000,0.000000,-2.313911,24.299999,1.000000,none,20.000000,0.000000,0.000000,-2.313911,20.432577,none,0.210000,13.000000
0.000000,2.216121,0.000000,5.000000,0.000000,0.000000,-2.216121,24.299999,1.000000,none,21.000000,0.000000,0.000000,-2.216121,21.390062,none,0.240000,13.000000
0.000000,2.016980,0.000000,5.000000,0.000000,0.000000,-2.016980,24.299999,1.000000,none,22.000000,0.000000,0.000000,-2.016980,22.814100,none,0.270000,13.000000
0.000000,1.709239,0.000000,5.000000,0.000000,0.000000,-1.709239,24.299999,1.000000,none,23.000000,0.000000,0.000000,-1.709239,23.974545,none,0.300000,13.000000
0.000000,1.281693,0.000000,5.000000,0.000000,0.000000,-1.281693,24.299999,1.000000,none,24.000000,0.000000,0.000000,-1.281693,24.299999,none,0.330000,13.000000
0.000000,0.718778,0.000000,5.000000,0.000000,0.000000,-0.718778,24.299999,1.000000,none,25.000000,0.000000,0.000000,-0.718778,24.299999,none,0.360000,13.000000
0.000000,-0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,24.299999,1.000000,none,26.000000,0.000000,0.000000,0.000000,24.299999,none,0.390000,13.000000
0.000000,-0.786122,0.000000,-5.350000,0.000000,0.000000,0.786122,24.299999,2.000000,none,27.000000,0.000000,0.000000,0.786122,24.299999,none,0.030000,13.000000
0.013211,-1.407742,0.000000,-5.350000,0.000000,-0.013211,1.407742,24.299999,2.000000,none,28.000000,0.000000,-0.013211,1.407742,24.299999,none,0.060000,13.000000
0.020416,-1.885028,0.000000,-5.350000,-0.001088,-0.018395,1.883008,23.893179,2.000000,none,29.000000,0.001088,-0.020416,1.885028,24.299999,none,0.090000,13.000000
0.028363,-2.236168,0.000000,-5.350000,-0.005425,-0.006436,2.214241,22.442625,2.000000,none,30.000000,0.005425,-0.028363,2.236168,24.299999,none,0.120000,13.000000
0.037344,-2.473945,0.000000,-5.350000,-0.012513,0.036035,2.400566,20.662577,2.000000,none,31.000000,0.012513,-0.037344,2.473945,24.299999,none,0.150000,13.000000
0.047684,-2.607015,0.000000,-5.350000,-0.021414,0.106214,2.453118,19.465721,2.000000,none,32.000000,0.021414,-0.047684,2.607015,24.299999,none,0.180000,13.000000
0.059760,-2.640224,0.000000,-5.350000,-0.030946,0.186343,2.394121,19.465721,2.000000,none,33.000000,0.030946,-0.059760,2.640224,24.299999,none,0.210000,13.000000
0.074011,-2.574780,0.000000,-5.350000,-0.039847,0.252610,2.248159,20.662577,2.000000,none,34.000000,0.039847,-0.074011,2.574780,24.299999,none,0.240000,13.000000
0.090957,-2.408301,0.000000,-5.350000,-0.046935,0.287116,2.030228,22.442625,2.000000,none,35.000000,0.046935,-0.090957,2.408301,24.299999,none,0.270000,13.000000
0.111215,-2.134726,0.000000,-5.350000,-0.051272,0.286765,1.736746,23.893179,2.000000,none,36.000000,0.051272,-0.111215,2.134726,24.299999,none,0.300000,13.000000
0.135521,-1.744095,0.000000,-5.350000,0.000000,0.264479,1.344095,24.299999,2.000000,none,37.000000,0.000000,-0.135521,1.744095,24.299999,none,0.330000,13.000000
0.164761,-1.222187,0.000000,-5.350000,0.000000,0.235239,0.822187,24.299999,2.000000,none,38.000000,0.000000,-0.164761,1.222187,24.299999,none,0.360000,13.000000
0.200000,-0.550000,0.000000,-5.350000,0.000000,0.200000,0.150000,24.299999,2.000000,none,39.000000,0.000000,-0.200000,0.550000,24.299999,none,0.390000,13.000000
0.241726,0.127052,0.400000,4.250000,0.000000,0.158274,-0.877052,24.299999,3.000000,none,40.000000,0.000000,-0.241726,-0.477052,24.299999,none,0.030000,13.000000
0.277690,0.652352,0.400000,4.250000,0.000000,0.122310,-1.402352,24.299999,3.000000,none,41.000000,0.000000,-0.277690,-1.002352,24.299999,none,0.060000,13.000000
0.309201,1.047486,0.400000,4.250000,-0.051272,0.090799,-1.797486,24.299999,3.000000,none,42.000000,0.051272,-0.305160,-1.401779,23.893179,none,0.090000,13.000000
