com_x,com_y,ideal_zmp_x,ideal_zmp_y,l_foot_t,l_foot_x,l_foot_y,l_foot_z,now_step_,pitch,points,r_foot_t,r_foot_x,r_foot_y,r_foot_z,roll,time,yaw
0.000000,-0.718778,0.000000,-5.000000,0.000000,0.000000,0.718778,24.299999,0.000000,none,1.000000,0.000000,0.000000,0.718778,24.299999,none,0.030000,13.000000
0.000000,-1.281693,0.000000,-5.000000,0.000000,0.000000,1.281693,24.299999,0.000000,none,2.000000,0.000000,0.000000,1.281693,24.299999,none,0.060000,13.000000
0.000000,-1.709239,0.000000,-5.000000,0.000000,0.000000,1.709239,24.299999,0.000000,none,3.000000,0.000000,0.000000,1.709239,24.299999,none,0.090000,13.000000
0.000000,-2.016980,0.000000,-5.000000,0.000000,0.000000,2.016980,24.299999,0.000000,none,4.000000,0.000000,0.000000,2.016980,24.299999,none,0.120000,13.000000
0.000000,-2.216121,0.000000,-5.000000,0.000000,0.000000,2.216121,24.299999,0.000000,none,5.000000,0.000000,0.000000,2.216121,24.299999,none,0.150000,13.000000
0.000000,-2.313911,0.000000,-5.000000,0.000000,0.000000,2.313911,24.299999,0.000000,none,6.000000,0.000000,0.000000,2.313911,24.299999,none,0.180000,13.000000
0.000000,-2.313911,0.000000,-5.000000,0.000000,0.000000,2.313911,24.299999,0.000000,none,7.000000,0.000000,0.000000,2.313911,24.299999,none,0.210000,13.000000
0.000000,-2.216121,0.000000,-5.000000,0.000000,0.000000,2.216121,24.299999,0.000000,none,8.000000,0.000000,0.000000,2.216121,24.299999,none,0.240000,13.000000
0.000000,-2.016980,0.000000,-5.000000,0.000000,0.000000,2.016980,24.299999,0.000000,none,9.000000,0.000000,0.000000,2.016980,24.299999,none,0.270000,13.000000
0.000000,-1.709239,0.000000,-5.000000,0.000000,0.000000,1.709239,24.299999,0.000000,none,10.000000,0.000000,0.000000,1.709239,24.299999,none,0.300000,13.000000
0.000000,-1.281693,0.000000,-5.000000,0.000000,0.000000,1.281693,24.299999,0.000000,none,11.000000,0.000000,0.000000,1.281693,24.299999,none,0.330000,13.000000
0.000000,-0.718778,0.000000,-5.000000,0.000000,0.000000,0.718778,24.299999,0.000000,none,12.000000,0.000000,0.000000,0.718778,24.299999,none,0.360000,13.000000
0.000000,0.000000,0.000000,-5.000000,0.000000,0.000000,-0.000000,24.299999,0.000000,none,13.000000,0.000000,0.000000,-0.000000,24.299999,none,0.390000,13.000000
0.000000,0.718778,0.000000,5.000000,0.000000,0.000000,-0.718778,24.299999,1.000000,none,14.000000,0.000000,0.000000,-0.718778,24.299999,none,0.030000,13.000000
0.000000,1.281693,0.000000,5.000000,0.000000,0.000000,-1.281693,24.299999,1.000000,none,15.000000,0.000000,0.000000,-1.281693,24.299999,none,0.060000,13.000000
0.000000,1.709239,0.000000,5.000000,0.000000,0.000000,-1.709239,24.299999,1.000000,none,16.000000,0.000000,0.000000,-1.709239,23.974545,none,0.090000,13.000000
0.000000,2.016980,0.000000,5.000000,0.000000,0.000000,-2.016980,24.299999,1.000000,none,17.000000,0.000000,0.000000,-2.016980,22.814100,none,0.120000,13.000000
0.000000,2.216121,0.000000,5.000000,0.000000,0.000000,-2.216121,24.299999,1.000000,none,18.000000,0.000000,0.000000,-2.216121,21.390062,none,0.150000,13.000000
0.000000,2.313911,0.000000,5.000000,0.000000,0.000000,-2.313911,24.299999,1.000000,none,19.000000,0.000000,0.000000,-2.313911,20.432577,none,0.180000,13.000000
0.000000,2.313911,0.000000,5.000000,0.000000,0.000000,-2.313911,24.299999,1.000000,none,20.000000,0.000000,0.000000,-2.313911,20.432577,none,0.210000,13.000000
0.000000,2.216121,0.000000,5.000000,0.000000,0.000000,-2.216121,24.299999,1.000000,none,21.000000,0.000000,0.000000,-2.216121,21.390062,none,0.240000,13.000000
0.000000,2.016980,0.000000,5.000000,0.000000,0.000000,-2.016980,24.299999,1.000000,none,22.000000,0.000000,0.000000,-2.016980,22.814100,none,0.270000,13.000000
0.000000,1.709239,0.000000,5.000000,0.000000,0.000000,-1.709239,24.299999,1.000000,none,23.000000,0.000000,0.000000,-1.709239,23.974545,none,0.300000,13.000000
0.000000,1.281693,0.000000,5.000000,0.000000,0.000000,-1.281693,24.299999,1.000000,none,24.000000,0.000000,0.000000,-1.281693,24.299999,none,0.330000,13.000000
0.000000,0.718778,0.000000,5.000000,0.000000,0.000000,-0.718778,24.299999,1.000000,none,25.000000,0.000000,0.000000,-0.718778,24.299999,none,0.360000,13.000000
0.000000,-0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,24.299999,1.000000,none,26.000000,0.000000,0.000000,0.000000,24.299999,none,0.390000,13.000000
0.000000,-0.776501,0.000000,-5.300000,0.000000,0.000000,0.776501,24.299999,2.000000,none,27.000000,0.000000,0.000000,0.776501,24.299999,none,0.030000,13.000000
0.016514,-1.388319,0.000000,-5.300000,0.000000,-0.016514,1.388319,24.299999,2.000000,none,28.000000,0.000000,-0.016514,1.388319,24.299999,none,0.060000,13.000000
0.025519,-1.857728,0.000000,-5.300000,0.000000,-0.022994,1.856213,23.893179,2.000000,none,29.000000,0.000000,-0.025519,1.857728,24.299999,none,0.090000,13.000000
0.035454,-2.201816,0.000000,-5.300000,0.000000,-0.008045,2.185371,22.442625,2.000000,none,30.000000,0.000000,-0.035454,2.201816,24.299999,none,0.120000,13.000000
0.046680,-2.433111,0.000000,-5.300000,0.000000,0.045043,2.378078,20.662577,2.000000,none,31.000000,0.000000,-0.046680,2.433111,24.299999,none,0.150000,13.000000
0.059605,-2.560034,0.000000,-5.300000,0.000000,0.132767,2.444611,19.465721,2.000000,none,32.000000,0.000000,-0.059605,2.560034,24.299999,none,0.180000,13.000000
0.074700,-2.587205,0.000000,-5.300000,0.000000,0.232929,2.402628,19.465721,2.000000,none,33.000000,0.000000,-0.074700,2.587205,24.299999,none,0.210000,13.000000
0.092514,-2.515613,0.000000,-5.300000,0.000000,0.315763,2.270647,20.662577,2.000000,none,34.000000,0.000000,-0.092514,2.515613,24.299999,none,0.240000,13.000000
0.113697,-2.342653,0.000000,-5.300000,0.000000,0.358894,2.059098,22.442625,2.000000,none,35.000000,0.000000,-0.113697,2.342653,24.299999,none,0.270000,13.000000
0.139019,-2.062026,0.000000,-5.300000,0.000000,0.358456,1.763541,23.893179,2.000000,none,36.000000,0.000000,-0.139019,2.062026,24.299999,none,0.300000,13.000000
0.169402,-1.663517,0.000000,-5.300000,0.000000,0.330598,1.363517,24.299999,2.000000,none,37.000000,0.000000,-0.169402,1.663517,24.299999,none,0.330000,13.000000
0.205952,-1.132618,0.000000,-5.300000,0.000000,0.294048,0.832618,24.299999,2.000000,none,38.000000,0.000000,-0.205952,1.132618,24.299999,none,0.360000,13.000000
0.250000,-0.450000,0.000000,-5.300000,0.000000,0.250000,0.150000,24.299999,2.000000,none,39.000000,0.000000,-0.250000,0.450000,24.299999,none,0.390000,13.000000
0.302157,0.237484,0.500000,4.400000,0.000000,0.197843,-0.837484,24.299999,3.000000,none,40.000000,0.000000,-0.302157,-0.537484,24.299999,none,0.030000,13.000000
0.345461,0.771774,0.500000,4.400000,0.000000,0.154539,-1.371774,24.299999,3.000000,none,41.000000,0.000000,-0.345461,-1.071774,24.299999,none,0.060000,13.000000
0.383949,1.174786,0.500000,4.400000,-0.034181,0.116051,-1.774786,24.299999,3.000000,none,42.000000,0.034181,-0.379151,-1.478069,23.893179,none,0.090000,13.000000
0.418212,1.460380,0.500000,4.400000,-0.031290,0.081788,-2.060380,24.299999,3.000000,none,43.000000,0.031290,-0.366135,-1.796011,22.442625,none,0.120000,13.000000
