ideal_pitch_vel,init_pitch_pos,left_control_once_pitch,left_control_total_pitch,passfilter_pres_pitch_pos,passfilter_pres_pitch_vel,pres_pitch_pos,pres_pitch_vel,right_control_once_pitch,right_control_total_pitch,smaple_times_count
0.000000,0.000000,0.000000,0.000000,0.003791,0.126355,0.023458,0.781947,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.023697,0.663561,0.107316,2.795265,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.052784,0.969567,0.120084,0.425580,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.069833,0.568282,0.090990,-0.969794,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.075529,0.189884,0.083929,-0.235359,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.129209,1.789314,0.399325,10.513206,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.238669,3.648670,0.536487,4.572060,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.319317,2.688262,0.439942,-3.218182,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.335751,0.547801,0.300396,-4.651523,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.285130,-1.687351,0.057843,-8.085114,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.189855,-3.175847,-0.077192,-4.501161,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.083759,-3.536534,-0.199672,-4.082666,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.005453,-2.610195,-0.117405,2.742228,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.043834,-1.642916,-0.176704,-1.976623,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.017313,0.884063,0.253166,14.328995,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.092349,3.655373,0.390847,4.589391,0.000000,0.000000,30.000000
0.000000,none,-0.012494,0.012494,0.217286,4.164591,0.567028,5.872678,0.000000,0.000000,30.000000
0.000000,none,-0.019473,0.031966,0.412012,6.490858,1.072607,16.852636,0.000000,0.000000,30.000000
0.000000,none,0.007133,0.024834,0.340687,-2.377510,-0.689977,-58.752792,0.000000,0.000000,30.000000
0.000000,none,0.030474,-0.005640,0.035952,-10.157843,-0.514502,5.849151,0.000000,0.000000,30.000000
0.000000,none,0.015861,-0.021501,-0.122661,-5.287075,-0.395167,3.977854,0.000000,0.000000,30.000000
0.000000,none,0.001727,-0.023228,-0.139934,-0.575784,0.042947,14.603795,0.000000,0.000000,30.000000
0.000000,none,-0.002884,-0.020344,-0.111090,0.961489,-0.144311,-6.241948,0.000000,0.000000,30.000000
0.000000,none,-0.009910,-0.010433,-0.011985,3.303478,0.535439,22.658339,0.000000,0.000000,30.000000
0.000000,none,-0.009910,-0.010433,0.178873,6.361941,0.621717,2.875940,0.000000,0.000000,30.000000
0.000000,none,-0.009910,-0.010433,0.419993,8.037325,1.228200,20.216103,0.000000,0.000000,30.000000
0.000000,none,-0.009910,-0.010433,0.700829,9.361208,1.349744,4.051447,0.000000,0.000000,30.000000
0.000000,none,-0.009910,-0.010433,0.904565,6.791185,1.312737,-1.233562,0.000000,0.000000,30.000000
0.000000,none,-0.009910,-0.010433,1.018867,3.810094,1.203761,-3.632514,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,1.019072,0.006815,0.835245,-12.283877,-0.000020,0.000020,30.000000
0.000000,none,0.000000,0.000000,0.964998,-1.802461,0.868269,1.100800,0.005407,-0.005387,30.000000
0.000000,none,0.000000,0.000000,0.494361,-15.687901,-1.850805,-90.635803,0.047064,-0.052451,30.000000
0.000000,none,0.000000,0.000000,-0.249079,-24.781349,-1.761253,2.985080,0.074344,-0.126795,30.000000
0.000000,none,0.000000,0.000000,-0.866384,-20.576815,-2.557097,-26.528156,0.061730,-0.188525,30.000000
0.000000,none,0.000000,0.000000,-1.353674,-16.243021,-2.191274,12.194093,0.048729,-0.237254,30.000000
0.000000,none,0.000000,0.000000,-1.341353,0.410705,-0.439833,58.381378,-0.001232,-0.236022,30.000000
0.000000,none,0.000000,0.000000,-0.975319,12.201136,0.022321,15.405137,-0.036603,-0.199419,30.000000
0.000000,none,0.000000,0.000000,-0.406020,18.976654,1.550146,50.927513,-0.036603,-0.199419,30.000000
0.000000,none,0.000000,0.000000,0.345349,25.045605,2.287655,24.583630,-0.036603,-0.199419,30.000000
0.000000,none,0.000000,0.000000,1.186919,28.052334,3.611102,44.114883,-0.036603,-0.199419,30.000000
0.000000,none,0.000000,0.000000,2.049185,28.742216,4.098881,16.259296,-0.036603,-0.199419,30.000000
0.000000,none,0.000000,0.000000,2.823943,25.825268,4.794094,23.173761,-0.036603,-0.199419,30.000000
0.000000,none,-0.067544,0.067544,3.499382,22.514618,5.033762,7.988962,0.000000,0.000000,30.000000
0.000000,none,-0.041136,0.108680,3.910746,13.712135,4.510749,-17.433771,0.000000,0.000000,30.000000
0.000000,none,-0.002925,0.111605,3.939996,0.974998,3.491779,-33.965668,0.000000,0.000000,30.000000
0.000000,none,0.012547,0.099058,3.814525,-4.182362,3.611759,3.999336,0.000000,0.000000,30.000000
0.000000,none,0.029330,0.069729,3.521229,-9.776533,2.202251,-46.983624,0.000000,0.000000,30.000000
0.000000,none,0.046947,0.022782,3.051760,-15.648960,1.934920,-8.911030,0.000000,0.000000,30.000000
0.000000,none,0.061251,-0.038469,2.439255,-20.416851,0.378127,-51.893101,0.000000,0.000000,30.000000
0.000000,none,0.088335,-0.126804,1.555907,-29.444908,-0.966200,-44.810883,0.000000,0.000000,30.000000
0.000000,none,0.088335,-0.126804,0.632129,-30.792599,-1.638779,-22.419300,0.000000,0.000000,30.000000
0.000000,none,0.088335,-0.126804,-0.187541,-27.322327,-2.169487,-17.690292,0.000000,0.000000,30.000000
0.000000,none,0.088335,-0.126804,-0.851146,-22.120193,-2.312321,-4.761108,0.000000,0.000000,30.000000
0.000000,none,0.088335,-0.126804,-1.316669,-15.517402,-2.270861,1.381977,0.000000,0.000000,30.000000
0.000000,none,0.088335,-0.126804,-1.601374,-9.490188,-2.124385,4.882550,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-1.620210,-0.627857,-1.194938,30.981569,0.001884,-0.001884,30.000000
0.000000,none,0.000000,0.000000,-1.302161,10.601632,-0.077245,37.256432,-0.031805,0.029921,30.000000
0.000000,none,0.000000,0.000000,-0.929067,12.436462,-0.218192,-4.698254,-0.037309,0.067231,30.000000
0.000000,none,0.000000,0.000000,-0.622983,10.202785,0.254252,15.748136,-0.030608,0.097839,30.000000
0.000000,none,0.000000,0.000000,-0.120521,16.748760,1.609270,45.167278,-0.050246,0.148085,30.000000
0.000000,none,0.000000,0.000000,0.531411,21.731049,2.184168,19.163256,-0.065193,0.213279,30.000000
0.000000,none,0.000000,0.000000,1.180072,21.622040,2.892899,23.624380,-0.064866,0.278145,30.000000
0.000000,none,0.000000,0.000000,1.722639,18.085556,2.824928,-2.265708,-0.054257,0.332401,30.000000
0.000000,none,0.000000,0.000000,1.963604,8.032180,2.111576,-23.778406,-0.054257,0.332401,30.000000
0.000000,none,0.000000,0.000000,1.985687,0.736077,1.952302,-5.309133,-0.054257,0.332401,30.000000
0.000000,none,0.000000,0.000000,1.904033,-2.721783,1.513771,-14.617682,-0.054257,0.332401,30.000000
0.000000,none,0.000000,0.000000,1.648897,-8.504534,0.715397,-26.612467,-0.054257,0.332401,30.000000
0.000000,none,0.000000,0.000000,1.290467,-11.947681,0.364260,-11.704580,-0.054257,0.332401,30.000000
0.000000,none,0.041637,-0.041637,0.874101,-13.878870,-0.360001,-24.142021,0.000000,0.000000,30.000000
0.000000,none,0.047705,-0.089342,0.397051,-15.901648,-0.844014,-16.133764,0.000000,0.000000,30.000000
0.000000,none,0.054716,-0.144058,-0.150109,-18.238678,-1.747984,-30.132336,0.000000,0.000000,30.000000
0.000000,none,0.063967,-0.208025,-0.789779,-21.322319,-2.510831,-25.428251,0.000000,0.000000,30.000000
0.000000,none,0.053744,-0.261769,-1.327219,-17.914677,-2.394681,3.871687,0.000000,0.000000,30.000000
0.000000,none,0.015624,-0.277392,-1.483457,-5.207946,-1.226646,38.934479,0.000000,0.000000,30.000000
0.000000,none,-0.000742,-0.276651,-1.476042,0.247171,-1.694389,-15.591403,0.000000,0.000000,30.000000
0.000000,none,-0.026805,-0.249846,-1.207996,8.934865,0.401098,69.849564,0.000000,0.000000,30.000000
0.000000,none,-0.026805,-0.249846,-0.604413,20.119438,0.918178,17.235975,0.000000,0.000000,30.000000
0.000000,none,-0.026805,-0.249846,0.124102,24.283829,2.381408,48.774361,0.000000,0.000000,30.000000
