com_x,com_y,ideal_zmp_x,ideal_zmp_y,l_foot_t,l_foot_x,l_foot_y,l_foot_z,now_step_,pitch,points,r_foot_t,r_foot_x,r_foot_y,r_foot_z,roll,time,yaw
0.000000,-0.718778,0.000000,-5.000000,0.000000,0.000000,0.718778,24.299999,0.000000,none,1.000000,0.000000,0.000000,0.718778,24.299999,none,0.030000,13.000000
0.000000,-1.281693,0.000000,-5.000000,0.000000,0.000000,1.281693,24.299999,0.000000,none,2.000000,0.000000,0.000000,1.281693,24.299999,none,0.060000,13.000000
0.000000,-1.709239,0.000000,-5.000000,0.000000,0.000000,1.709239,24.299999,0.000000,none,3.000000,0.000000,0.000000,1.709239,24.299999,none,0.090000,13.000000
0.000000,-2.016980,0.000000,-5.000000,0.000000,0.000000,2.016980,24.299999,0.000000,none,4.000000,0.000000,0.000000,2.016980,24.299999,none,0.120000,13.000000
0.000000,-2.216121,0.000000,-5.000000,0.000000,0.000000,2.216121,24.299999,0.000000,none,5.000000,0.000000,0.000000,2.216121,24.299999,none,0.150000,13.000000
0.000000,-2.313911,0.000000,-5.000000,0.000000,0.000000,2.313911,24.299999,0.000000,none,6.000000,0.000000,0.000000,2.313911,24.299999,none,0.180000,13.000000
0.000000,-2.313911,0.000000,-5.000000,0.000000,0.000000,2.313911,24.299999,0.000000,none,7.000000,0.000000,0.000000,2.313911,24.299999,none,0.210000,13.000000
0.000000,-2.216121,0.000000,-5.000000,0.000000,0.000000,2.216121,24.299999,0.000000,none,8.000000,0.000000,0.000000,2.216121,24.299999,none,0.240000,13.000000
0.000000,-2.016980,0.000000,-5.000000,0.000000,0.000000,2.016980,24.299999,0.000000,none,9.000000,0.000000,0.000000,2.016980,24.299999,none,0.270000,13.000000
0.000000,-1.709239,0.000000,-5.000000,0.000000,0.000000,1.709239,24.299999,0.000000,none,10.000000,0.000000,0.000000,1.709239,24.299999,none,0.300000,13.000000
0.000000,-1.281693,0.000000,-5.000000,0.000000,0.000000,1.281693,24.299999,0.000000,none,11.000000,0.000000,0.000000,1.281693,24.299999,none,0.330000,13.000000
0.000000,-0.718778,0.000000,-5.000000,0.000000,0.000000,0.718778,24.299999,0.000000,none,12.000000,0.000000,0.000000,0.718778,24.299999,none,0.360000,13.000000
0.000000,0.000000,0.000000,-5.000000,0.000000,0.000000,-0.000000,24.299999,0.000000,none,13.000000,0.000000,0.000000,-0.000000,24.299999,none,0.390000,13.000000
0.000000,0.542349,0.000000,4.700000,0.000000,0.000000,-0.842349,24.299999,1.000000,none,14.000000,0.000000,0.000000,-0.542349,24.299999,none,0.030000,13.000000
0.000000,1.083334,0.000000,4.700000,0.000000,0.000000,-1.383334,24.299999,1.000000,none,15.000000,0.000000,0.000000,-1.083334,24.299999,none,0.060000,13.000000
0.000000,1.492650,0.000000,4.700000,0.000000,0.000000,-1.792650,24.299999,1.000000,none,16.000000,0.000000,0.001263,-1.494165,23.893179,none,0.090000,13.000000
0.000000,1.785198,0.000000,4.700000,0.000000,0.000000,-2.085198,24.299999,1.000000,none,17.000000,0.000000,0.013704,-1.801643,22.442625,none,0.120000,13.000000
0.000000,1.971629,0.000000,4.700000,0.000000,0.000000,-2.271629,24.299999,1.000000,none,18.000000,0.000000,0.045862,-2.026663,20.662577,none,0.150000,13.000000
0.000000,2.058731,0.000000,4.700000,0.000000,0.000000,-2.358731,24.299999,1.000000,none,19.000000,0.000000,0.096186,-2.174154,19.465721,none,0.180000,13.000000
0.000000,2.049674,0.000000,4.700000,0.000000,0.000000,-2.349674,24.299999,1.000000,none,20.000000,0.000000,0.153814,-2.234251,19.465721,none,0.210000,13.000000
0.000000,1.944129,0.000000,4.700000,0.000000,0.000000,-2.244128,24.299999,1.000000,none,21.000000,0.000000,0.204138,-2.189095,20.662577,none,0.240000,13.000000
0.000000,1.738252,0.000000,4.700000,0.000000,0.000000,-2.038252,24.299999,1.000000,none,22.000000,0.000000,0.236296,-2.021807,22.442625,none,0.270000,13.000000
0.000000,1.424550,0.000000,4.700000,0.000000,0.000000,-1.724550,24.299999,1.000000,none,23.000000,0.000000,0.248737,-1.723035,23.893179,none,0.300000,13.000000
0.000000,0.991601,0.000000,4.700000,0.000000,0.000000,-1.291601,24.299999,1.000000,none,24.000000,0.000000,0.250000,-1.291601,24.299999,none,0.330000,13.000000
0.000000,0.423644,0.000000,4.700000,0.000000,0.000000,-0.723644,24.299999,1.000000,none,25.000000,0.000000,0.250000,-0.723644,24.299999,none,0.360000,13.000000
0.000000,-0.300000,0.000000,4.700000,0.000000,0.000000,0.000000,24.299999,1.000000,none,26.000000,0.000000,0.250000,0.000000,24.299999,none,0.390000,13.000000
