ideal_roll_vel,init_roll_pos,left_control_once_roll,left_control_total_roll,passfilter_pres_roll_pos,passfilter_pres_roll_vel,pres_roll_pos,pres_roll_vel,right_control_once_roll,right_control_total_roll,smaple_times_count
0.000000,0.000000,0.000000,0.000000,0.008043,0.268112,0.049776,1.659209,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.123824,3.859352,0.682819,21.101418,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.386443,8.753969,1.190048,16.907656,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.622150,7.856906,1.041514,-4.951143,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.661765,1.320477,0.447943,-19.785698,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.396709,-8.835179,-0.764706,-40.421642,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.030342,-14.235041,-1.084681,-10.665822,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.463412,-14.435671,-1.656059,-19.045948,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.882876,-13.982130,-1.866621,-7.018745,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-1.185806,-10.097658,-1.773818,3.093457,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-1.312708,-4.230068,-1.383135,13.022757,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-1.328849,-0.538022,-1.342176,1.365316,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-1.300505,0.944807,-1.140122,6.735126,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-1.262732,1.259093,-1.227138,-2.900545,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-1.112045,5.022890,-0.365808,28.711004,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.796726,10.510635,0.093064,15.295726,0.000000,0.000000,30.000000
0.000000,none,-0.022324,-0.022324,-0.409077,12.921616,0.712443,20.645964,0.000000,0.000000,30.000000
0.000000,none,-0.028512,-0.050836,0.018320,14.246574,1.114349,13.396861,0.000000,0.000000,30.000000
0.000000,none,-0.023564,-0.074400,0.411509,13.106308,1.355543,8.039832,0.000000,0.000000,30.000000
0.000000,none,-0.012904,-0.087304,0.732978,10.715624,1.456887,3.378109,0.000000,0.000000,30.000000
0.000000,none,-0.032305,-0.119610,0.942116,6.971279,1.303326,-5.118680,0.000000,0.000000,30.000000
0.000000,none,-0.032556,-0.152166,1.034084,3.065611,1.150058,-5.108953,0.000000,0.000000,30.000000
0.000000,none,-0.032807,-0.184973,1.046641,0.418546,0.995823,-5.141171,0.000000,0.000000,30.000000
0.000000,none,-0.033058,-0.218032,0.964826,-2.727146,0.591157,-13.488857,0.000000,0.000000,30.000000
0.000000,none,-0.033058,-0.218032,0.819286,-4.851346,0.437825,-5.111067,0.000000,0.000000,30.000000
0.000000,none,-0.033058,-0.218032,0.663232,-5.201814,0.235009,-6.760528,0.000000,0.000000,30.000000
0.000000,none,-0.033058,-0.218032,0.553411,-3.660694,0.411832,5.894094,0.000000,0.000000,30.000000
0.000000,none,-0.033058,-0.218032,0.501891,-1.717330,0.376162,-1.188990,0.000000,0.000000,30.000000
0.000000,none,-0.033058,-0.218032,0.439440,-2.081700,0.241145,-4.500587,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.299357,-4.669441,-0.229167,-15.677065,-0.033309,-0.033309,30.000000
0.000000,none,0.000000,0.000000,0.194918,-3.481300,0.181562,13.690969,-0.033560,-0.066869,30.000000
0.000000,none,0.000000,0.000000,0.214479,0.652031,0.329328,4.925535,-0.033811,-0.100681,30.000000
0.000000,none,0.000000,0.000000,0.298528,2.801652,0.619772,9.681465,-0.034062,-0.134743,30.000000
0.000000,none,0.000000,0.000000,0.396709,3.272681,0.584876,-1.163183,-0.034313,-0.169056,30.000000
0.000000,none,0.000000,0.000000,0.452144,1.847837,0.551604,-1.109084,-0.034564,-0.203620,30.000000
0.000000,none,0.000000,0.000000,0.503444,1.710023,0.670161,3.951907,-0.034815,-0.238435,30.000000
0.000000,none,0.000000,0.000000,0.514461,0.367220,0.404907,-8.841793,-0.035066,-0.273501,30.000000
0.000000,none,0.000000,0.000000,0.403748,-3.690427,-0.061128,-15.534519,-0.035066,-0.273501,30.000000
0.000000,none,0.000000,0.000000,0.258298,-4.848335,-0.031491,0.987928,-0.035066,-0.273501,30.000000
0.000000,none,0.000000,0.000000,-0.159209,-13.916911,-2.035656,-66.805527,-0.035066,-0.273501,30.000000
0.000000,none,0.000000,0.000000,-0.931434,-25.740829,-3.061678,-34.200726,-0.035066,-0.273501,30.000000
0.000000,none,0.000000,0.000000,-1.484662,-18.440926,-2.224847,27.894379,-0.035066,-0.273501,30.000000
0.000000,none,0.022019,0.022019,-1.654727,-5.668839,-1.796934,14.263745,0.000000,0.000000,30.000000
0.000000,none,0.022223,0.044241,-1.664040,-0.310450,-1.570166,7.558942,0.000000,0.000000,30.000000
0.000000,none,0.022427,0.066668,-1.627562,1.215960,-1.532176,1.266348,0.000000,0.000000,30.000000
0.000000,none,0.022631,0.089299,-1.516887,3.689150,-1.038048,16.470921,0.000000,0.000000,30.000000
0.000000,none,-0.014716,0.074583,-1.198601,10.609555,-0.026018,33.734341,0.000000,0.000000,30.000000
