Accel_ax,Accel_ay,Accel_az
1.818475,4.297740,4.280285
-0.100942,-0.314954,9.751554
1.362928,5.085649,4.471665
1.743521,-1.121998,3.053540
-0.851255,2.754877,5.878395
-0.627114,-6.774905,16.482651
-0.517479,3.983863,12.173818
-0.132138,0.760908,8.515276
-0.109563,2.298774,9.500971
-0.170205,1.263596,9.490840
0.317611,0.883073,10.587524
1.606348,1.000965,4.926351
-1.713890,2.984900,13.347247
1.074725,-4.630140,2.372349
-1.882454,10.639109,17.560568
1.576933,-5.254509,3.675189
-1.254851,11.358425,10.991428
-0.359398,-7.123088,12.026799
19.965469,-5.924259,30.748060
-20.019312,7.685365,55.783379
8.062380,-5.674797,10.631772
-0.544210,-2.551366,9.127555
-6.968066,1.375276,-7.206198
33.790623,-6.505841,35.918968
-11.842163,-1.562146,-8.294520
0.688346,5.217377,11.689904
-0.125750,4.157862,1.236119
-2.741189,6.419765,15.069870
0.154103,6.042103,-0.489800
-3.641976,4.452062,19.218565
-0.389601,8.095624,9.785865
-26.334332,-1.106826,-18.990475
22.249073,7.284877,63.377968
-25.711067,0.668450,-4.049889
1.749593,1.391895,8.533310
19.749744,0.496486,24.893814
-43.425083,-5.629375,-41.814285
8.221416,-1.218250,1.875136
0.295475,-7.287914,11.464291
-1.634267,-1.945474,12.919612
-0.271586,-3.583935,2.948593
-0.878091,-7.781478,0.151042
-1.636351,0.894024,6.684149
-0.836801,7.164649,15.050379
18.104343,-11.451751,41.287655
-47.336235,1.462325,-21.395441
13.199064,-9.230002,42.712231
-0.839426,-3.494521,9.772779
-14.867419,-3.621460,-17.722633
49.892979,4.471515,60.803608
-13.823638,1.610121,-9.602554
0.211013,1.390223,9.498636
-1.466530,11.413808,3.246503
-0.358311,5.596415,6.170028
-0.798780,7.507493,2.015440
0.172819,1.513693,3.398883
-3.982301,12.983103,15.569805
-25.799475,0.993448,-19.348841
42.773941,19.076813,81.306534
-27.462112,2.400901,-8.284227
2.563133,0.034351,2.053256
9.602789,4.793911,24.545919
-15.955724,-1.246611,-22.854717
22.837042,-2.005968,12.906291
-1.352858,2.430430,12.329475
-0.143822,-10.215671,8.527900
0.594058,-9.514218,1.717737
1.793479,-1.526108,3.920002
-0.915113,-1.916227,5.787106
1.088909,2.283676,9.264242
7.072620,-7.450274,43.904190
35.578121,-14.453155,35.285564
-16.640045,0.256035,3.665481
-0.459881,-3.206985,5.778223
12.190044,-2.715666,3.508488
-55.413116,0.592207,-51.620075
13.643287,2.037848,3.642064
2.180331,0.527996,2.676693
-1.369168,4.794116,5.911059
-0.172409,5.599752,0.572302
0.014133,1.967337,1.349429
-0.079130,7.382854,3.435547
-1.451222,2.322988,12.285950
37.389030,11.269361,51.108662
-48.474098,3.418706,-17.113281
36.199593,-2.320779,42.618046
2.426960,1.890509,10.922173
-6.298048,-1.870909,-6.969055
41.434372,-2.533252,46.634750
6.846615,-4.688294,15.444467
3.958163,8.924264,10.194258
1.737969,-5.705747,8.638734
5.296637,16.038164,15.641840
0.032965,-5.217737,8.123439
-1.431700,13.637641,20.963226
-2.315236,-2.630432,15.276011
-7.546152,0.395868,-20.601339
-30.200335,-0.017689,18.058617
18.385218,-3.534310,25.469343
-1.448517,-2.575591,10.439373
-8.023126,2.701048,-7.002668
30.956020,-3.365405,18.171270
-47.196617,1.539971,-24.063238
-5.784087,-0.088691,7.882418
-5.837922,-0.096798,7.853727
