CoM_x_control,new_EP_lx,new_EP_rx
-0.004221,0.000000,0.000000
0.000085,0.000000,0.000000
0.002003,0.000000,0.000000
0.001902,0.000000,0.000000
0.000574,0.000000,0.000000
-0.000734,0.000000,0.000000
-0.001487,0.000000,0.000000
-0.001478,0.000000,0.000000
-0.000474,0.000000,0.000000
0.001199,0.000000,0.000000
0.003293,0.000000,0.000000
0.005326,0.000000,0.000000
0.006582,0.000000,0.000000
0.006822,0.000000,0.000000
0.006378,0.000000,0.000000
0.004436,0.000000,0.000000
0.001371,0.000000,0.000000
-0.000995,0.000000,0.000000
-0.002441,0.000000,0.000000
0.000772,0.000000,0.000000
0.006805,0.000000,0.000000
0.011024,0.000000,0.000000
0.013762,0.000000,0.000000
0.014629,0.000000,0.000000
0.015477,0.000000,0.000000
0.014336,0.000000,0.000000
0.009842,0.000000,0.000000
0.003772,0.000000,0.000000
-0.002679,0.000000,0.000000
-0.007653,-0.013211,-0.013211
-0.010618,-0.018395,-0.020416
-0.011208,-0.006436,-0.028363
-0.009472,0.036035,-0.037344
-0.004578,0.106214,-0.047684
0.001598,0.186343,-0.059760
0.005668,0.252610,-0.074011
0.007120,0.287116,-0.090957
0.007532,0.286765,-0.111215
0.007006,0.264479,-0.135521
0.004908,0.235239,-0.164761
0.002106,0.200000,-0.200000
-0.001186,0.158274,-0.241726
-0.004603,0.122310,-0.277690
-0.007336,0.090799,-0.305160
-0.007915,0.062594,-0.293552
-0.005913,0.036668,-0.216576
-0.004687,0.012076,-0.080129
-0.005771,-0.012076,0.080129
-0.007272,-0.036668,0.216576
-0.007849,-0.062594,0.293552
-0.007455,-0.090799,0.305160
-0.006344,-0.122310,0.277690
-0.005263,-0.158274,0.241726
-0.005727,-0.200000,0.200000
-0.007278,-0.241726,0.158274
-0.009591,-0.277690,0.122310
-0.012031,-0.305160,0.090799
-0.013469,-0.293552,0.062594
-0.013881,-0.216576,0.036668
-0.010995,-0.080129,0.012076
-0.006620,0.080129,-0.012076
-0.006079,0.216576,-0.036668
-0.009643,0.293552,-0.062594
-0.013581,0.305160,-0.090799
-0.014479,0.277690,-0.122310
-0.013309,0.241726,-0.158274
-0.012117,0.200000,-0.200000
-0.011388,0.158274,-0.241726
-0.011057,0.122310,-0.277690
-0.010749,0.090799,-0.305160
-0.008743,0.062594,-0.293552
-0.008628,0.036668,-0.216576
-0.007338,0.012076,-0.080129
-0.000905,-0.012076,0.080129
0.003383,-0.036668,0.216576
0.005129,-0.062594,0.293552
0.004598,-0.090799,0.305160
0.000889,-0.122310,0.277690
-0.004518,-0.158274,0.241726
-0.010482,-0.200000,0.200000
-0.016296,-0.241726,0.158274
-0.021471,-0.277690,0.122310
-0.024472,-0.305160,0.090799
-0.026897,-0.293552,0.062594
-0.025339,-0.216576,0.036668
-0.016785,-0.080129,0.012076
-0.005019,0.080129,-0.012076
0.005598,0.216576,-0.036668
0.014144,0.293552,-0.062594
0.022343,0.305160,-0.090799
0.028407,0.277690,-0.122310
0.031059,0.241726,-0.158274
0.031226,0.200000,-0.200000
0.027694,0.164761,-0.235239
0.020327,0.135521,-0.264479
0.008996,0.111215,-0.286765
-0.005948,0.090957,-0.287116
-0.017128,0.074011,-0.252610
-0.025369,0.059760,-0.186343
-0.032126,0.047684,-0.106214
-0.034953,0.037344,-0.036035
-0.036583,0.028363,0.006436
-0.033427,0.020416,0.018395
-0.110388,-0.100162,0.015095
-0.246024,0.100162,-0.015095
